Abbott's Village Bakery Bread Rustic White 700g,9(16slices+2crusts),Servingsize:78g(2slices),Energy,811kJ,1040kJ,Protein,5.9g,7.6g,"Fat, total",2.0g,2.5g,– saturated,1.0g,0.4g,Carbohydrate,36.7g,47.0g,– sugars,3.0g,3.9g,Sodium,282mg,362mg
Helgas Capsicum & Roasted Garlic Wraps 7 pack,7,Servingsize:70g(1wrap),Energy,880kJ,1260kJ,Protein,5.2g,7.4g,"Fat, total",5.5g,7.8g,– saturated,3.1g,4.4g,Carbohydrate,33.8g,48.3g,– sugars,1.6g,2.3g,Sodium,280mg,400mg
Helgas Spinach & Herb Wraps 7 pack,7,Servingsize:70g(1wrap),Energy,890kJ,1270kJ,Protein,5.3g,7.5g,"Fat, total",5.5g,7.9g,– saturated,3.2g,4.5g,Carbohydrate,34.4g,49.1g,– sugars,1.4g,2.0g,Sodium,280mg,400mg
Golden Pancakes6pk 360g,6,Servingsize:60g(1Pancake),Energy,612kJ,1020kJ,Protein,3.2g,5.4g,"Fat, total",3.9g,6.5g,– saturated,0.4g,0.7g,Carbohydrate,24.0g,40.0g,– sugars,7.1g,11.9g,Sodium,182mg,304mg
Woolworths Free From Gluten Bake Home Rolls 6pk,6,Servingsize:25g,Energy,Approx. 285kJ,Approx. 1140kJ,Protein,Approx. 1g,Approx. 1.4g,"Fat, total",Approx. 1.9g,Approx. 7.7g,– saturated,<1g,<1g,Carbohydrate,Approx. 11.5g,Approx. 46.1g,– sugars,Approx. 1g,Approx. 2.8g,Sodium,Approx. 58mg,Approx. 232mg
Bfree Wraps Multigrain 6pk,6,Servingsize:41g,Energy,417kJ,1016kJ,Protein,2.2g,5.4g,"Fat, total",1.2g,3.0g,– saturated,0.2g,0.5g,Carbohydrate,17.6g,43g,– sugars,0.9g,2.1g,Sodium,193mg,470mg
Menissez Bake At Home White Dinner Rolls 6pk,6,Servingsize:50g,Energy,528kJ,1056kJ,Protein,3.6g,7.2g,"Fat, total",0.5g,0.9g,– saturated,0.1g,0.2g,Carbohydrate,26.g,52g,– sugars,1.9g,3.7g,Sodium,297mg,594mg
Menissez Bake At Home Multigrain Dinner Rolls 6pk,6,Servingsize:50g,Energy,Approx. 523kJ,Approx. 1045kJ,Protein,Approx. 4.3g,Approx. 8.5g,"Fat, total",Approx. 1.5g,Approx. 3g,– saturated,Approx. 0.4g,Approx. 0.72g,Carbohydrate,Approx. 22g,Approx. 44g,– sugars,Approx. 1.6g,Approx. 3.2g,Sodium,Approx. 218mg,Approx. 436mg
Helga's Bread Light Rye 680g,9(16sicesand2crusts),Servingsize:75g,Energy,770kJ,1030kJ,Protein,6.8g,9.0g,"Fat, total",1.7g,2.3g,– saturated,<1.0g,<1.0g,Carbohydrate,33.2g,44.3g,– sugars,2.0g,2.7g,Sodium,300mg,400mg
Abbott's Village Bakery Light Rye Bread 680g,9(16slices+2crusts),Servingsize:76g(2slices),Energy,782kJ,1030kJ,Protein,7.4g,9.7g,"Fat, total",2.3g,3.0g,– saturated,1.0g,0.5g,Carbohydrate,32.0g,42.1g,– sugars,2.1g,2.8g,Sodium,274mg,360mg
Wonder Active Low Gi Soft White Bread680g,9(17slicesand2crusts),Servingsize:72g(2slices),Energy,710kJ,980kJ,Protein,7.8g,10.9g,"Fat, total",2.4g,3.4g,– saturated,<1.0g,<1.0g,Carbohydrate,26.1g,36.3g,– sugars,1.5g,2.1g,Sodium,290mg,400mg
Burgen Gluten Free Bread Soy & Linseed 650g,7,Servingsize:93g(2slices),Energy,1030kJ,1110kJ,Protein,8.0g,8.6g,"Fat, total",7.8g,8.4g,– saturated,0.7g,0.8g,Carbohydrate,33.6g,36.1g,– sugars,4.7g,5.0g,Sodium,391mg,420mg
Burgen Gluten Free Bread Chia & Sunflower 650g,7,Servingsize:93g(2slices),Energy,1110kJ,1190kJ,Protein,6.5g,7.0g,"Fat, total",9.0g,9.7g,– saturated,1.3g,1.4g,Carbohydrate,36.9g,39.7g,– sugars,5.2g,5.6g,Sodium,372mg,400mg
Helgas Sourdough Loaf 650g,9(16slicesand2crusts),Servingsize:72g(2slices),Energy,760kJ,1060kJ,Protein,6.6g,9.2g,"Fat, total",2.9g,4.0g,– saturated,<1.0g,<1.0g,Carbohydrate,30.2g,41.9g,– sugars,1.9g,2.7g,Sodium,290mg,400mg
Helga's Olive Oil & Herb Loaf650g,9(16slicesand2crusts),Servingsize:72g,Energy,790kJ,1100kJ,Protein,6.0g,8.4g,"Fat, total",2.9g,4.0g,– saturated,<1.0g,<1.0g,Carbohydrate,33.1g,46.0g,– sugars,1.9g,2.6g,Sodium,290mg,400mg
Woolworths Wholemeal Soft Sandwich Bread 650g,11,Servingsize:100g,Energy,Approx. 595kJ,Approx. 992kJ,Protein,Approx. 6.9g,Approx. 11.5g,"Fat, total",Approx. 1.3g,Approx. 2.2g,– saturated,<1g,<1g,Carbohydrate,Approx. 23.7g,Approx. 39.5g,– sugars,Approx. 1.9g,Approx. 3.2g,Sodium,Approx. 204mg,Approx. 340mg
Woolworths White Soft Sandwich Bread 650g,11,Servingsize:100g,Energy,Approx. 616kJ,Approx. 1030kJ,Protein,Approx. 4.9g,Approx. 8.1g,"Fat, total",Approx. 1.2g,Approx. 2g,– saturated,<1g,<1g,Carbohydrate,Approx. 28g,Approx. 46.7g,– sugars,Approx. 2.2g,Approx. 3.6g,Sodium,Approx. 210mg,Approx. 350mg
Woolworths White Soft Toast Bread 650g,9.5,Servingsize:100g,Energy,Approx. 708kJ,Approx. 1030kJ,Protein,Approx. 5.6g,Approx. 8.1g,"Fat, total",Approx. 1.4g,Approx. 2g,– saturated,<1g,<1g,Carbohydrate,Approx. 32.2g,Approx. 46.7g,– sugars,Approx. 2.5g,Approx. 3.6g,Sodium,Approx. 242mg,Approx. 350mg
